GameID,Week,HomeTeamGamesWon,HomeVsAwayGamesWon,DivisionGame
2011122404,16,6,-1,1
2011122405,16,8,1,0
2011122402,16,10,6,1
2011122407,16,5,1,1
2011122406,16,5,3,0
2011122410,16,9,2,0
2011122411,16,8,2,1
2011122412,16,7,-4,1
2011122500,16,13,6,1
2011122600,16,11,2,1
2012010112,17,2,-10,1
2012010104,17,10,2,1
2012010108,17,14,4,1
2012010100,17,5,-3,1
2012010107,17,7,2,1
2012010101,17,12,6,1
2012010105,17,4,2,1
2012010111,17,12,6,1
2012010109,17,3,-4,1
2012010115,17,7,0,1
2012010114,17,8,1,1
2012010102,17,9,-2,1
2012010103,17,4,-7,1
2012010113,17,8,2,1
2012010110,17,9,5,1
2012010106,17,8,0,1
2012090500,1,0,0,1
2012090900,1,0,0,0
2012090902,1,0,0,1
2012090906,1,0,0,0
2012090904,1,0,0,0
2012090905,1,0,0,0
2012090907,1,0,0,0
2012090903,1,0,0,0
2012090908,1,0,0,0
2012090901,1,0,0,0
2012090910,1,0,0,1
2012090909,1,0,0,0
2012090911,1,0,0,1
2012090912,1,0,0,0
2012091000,1,0,0,1
2012091001,1,0,0,1
2012091300,2,0,-1,1
2012091605,2,0,0,0
2012091602,2,1,0,0
2012091606,2,0,0,1
2012091612,2,0,0,0
2012091603,2,0,-1,0
2012091604,2,1,0,0
2012091607,2,0,-1,1
2012091600,2,0,-1,0
2012091601,2,0,0,1
2012091609,2,0,-1,0
2012091608,2,0,-1,0
2012091611,2,1,1,0
2012091610,2,0,-1,0
2012091613,2,1,0,0
2012091700,2,1,0,0
2012092000,3,1,0,0
2012092307,3,0,-1,0
2012092305,3,0,0,0
2012092303,3,0,-1,0
2012092304,3,1,0,0
2012092306,3,1,0,1
2012092308,3,1,1,1
2012092301,3,1,0,0
2012092300,3,1,0,0
2012092302,3,1,-1,0
2012092310,3,2,0,0
2012092309,3,2,0,0
2012092311,3,1,-1,0
2012092312,3,0,-1,0
2012092313,3,1,0,0
2012092400,3,1,0,0
2012092700,4,2,2,1
2012093005,4,1,-1,1
2012093000,4,2,1,1
2012093006,4,2,0,0
2012093003,4,1,-1,1
2012093001,4,3,2,1
2012093004,4,3,2,1
2012093002,4,1,-1,1
2012093008,4,1,0,1
2012093009,4,1,-1,0
2012093007,4,3,2,0
2012093010,4,1,1,0
2012093011,4,1,0,0
2012093012,4,2,0,1
2012100100,4,2,0,0
2012100400,5,2,-2,1
2012100703,5,2,2,0
2012100706,5,1,-2,0
2012100701,5,1,-2,0
2012100702,5,1,-1,0
2012100705,5,3,2,0
2012100700,5,2,-2,0
2012100707,5,1,-1,0
2012100708,5,1,-2,0
2012100704,5,3,2,0
2012100710,5,3,1,0
2012100709,5,2,0,0
2012100711,5,0,-3,0
2012100800,5,2,-2,0
2012101100,6,1,-1,0
2012101405,6,2,-1,0
2012101401,6,1,0,0
2012101400,6,5,4,0
2012101406,6,4,2,0
2012101402,6,2,0,0
2012101403,6,0,-3,1
2012101404,6,3,2,0
2012101408,6,3,0,0
2012101407,6,4,2,0
2012101409,6,4,1,0
2012101410,6,2,-2,0
2012101411,6,5,3,0
2012101500,6,3,1,1
2012101800,7,4,0,1
2012102104,7,3,0,0
2012102103,7,2,1,1
2012102105,7,5,0,0
2012102106,7,2,1,0
2012102107,7,3,1,0
2012102102,7,1,-1,0
2012102100,7,4,1,1
2012102101,7,4,0,0
2012102109,7,1,0,0
2012102108,7,3,0,1
2012102110,7,3,1,1
2012102200,7,4,2,1
2012102500,8,5,3,0
2012102808,8,3,0,0
2012102805,8,3,-3,0
2012102807,8,2,-2,0
2012102806,8,5,4,0
2012102800,8,4,3,0
2012102803,8,3,0,1
2012102801,8,3,0,1
2012102804,8,3,-1,0
2012102802,8,1,-2,0
2012102809,8,1,-1,1
2012102810,8,3,-2,1
2012102811,8,3,1,0
2012102900,8,4,-1,1
2012110100,9,3,2,1
2012110407,9,4,0,0
2012110404,9,3,-1,0
2012110406,9,6,3,0
2012110401,9,5,1,0
2012110405,9,2,-3,1
2012110403,9,3,-3,0
2012110402,9,1,-2,0
2012110400,9,3,2,0
2012110409,9,3,0,0
2012110408,9,4,-1,0
2012110410,9,6,2,0
2012110411,9,7,4,0
2012110500,9,2,-1,0
2012110800,10,1,-4,1
2012111106,10,3,-5,1
2012111103,10,5,2,1
2012111100,10,2,-3,0
2012111104,10,6,3,0
2012111102,10,4,1,0
2012111101,10,4,0,0
2012111105,10,3,-3,0
2012111107,10,5,1,1
2012111108,10,5,2,0
2012111109,10,3,0,1
2012111110,10,6,3,1
2012111111,10,7,0,0
2012111200,10,5,4,0
2012111500,11,3,-1,1
2012111805,11,3,0,0
2012111801,11,4,-2,1
2012111808,11,1,-3,0
2012111807,11,8,7,1
2012111802,11,8,4,0
2012111800,11,3,0,1
2012111804,11,4,2,0
2012111803,11,2,-3,1
2012111809,11,3,-1,0
2012111806,11,6,0,0
2012111810,11,6,2,1
2012111811,11,6,-1,1
2012111900,11,7,0,0
2012112200,12,4,-5,0
2012112201,12,5,1,1
2012112202,12,4,-3,1
2012112505,12,7,1,1
2012112501,12,2,-4,1
2012112500,12,5,2,0
2012112506,12,6,-3,1
2012112503,12,1,-3,1
2012112507,12,4,-2,0
2012112504,12,1,-6,1
2012112502,12,6,2,0
2012112508,12,4,-4,0
2012112510,12,4,1,1
2012112509,12,5,-3,0
2012112511,12,6,-1,0
2012112600,12,3,1,0
2012112900,13,10,5,1
2012120202,13,4,-5,1
2012120206,13,4,2,0
2012120201,13,7,1,1
2012120208,13,4,-6,1
2012120207,13,5,-3,1
2012120200,13,8,2,0
2012120204,13,1,-2,0
2012120205,13,4,-3,0
2012120203,13,4,0,0
2012120209,13,8,2,0
2012120210,13,9,3,1
2012120211,13,3,0,0
2012120212,13,4,-2,0
2012120213,13,5,2,1
2012120300,13,5,-2,1
2012120600,14,3,-6,1
2012120908,14,5,0,0
2012120904,14,2,-3,0
2012120903,14,8,4,1
2012120902,14,7,3,0
2012120901,14,4,2,0
2012120907,14,6,3,0
2012120909,14,7,1,0
2012120900,14,6,-3,0
2012120906,14,3,-8,1
2012120905,14,6,-2,1
2012120910,14,9,4,0
2012120911,14,7,2,0
2012120912,14,7,3,1
2012120913,14,8,4,1
2012121000,14,9,-2,0
2012121300,15,4,-3,0
2012121603,15,6,-1,0
2012121606,15,9,-1,0
2012121607,15,11,2,1
2012121602,15,5,-1,1
